timestamp,lat,lon,accuracy,speed,heading
1700000000000,39.9847000,116.3606000,8.55,0.000,0.000
1700000005000,39.9846998,116.3606775,6.81,1.321,90.181
1700000010000,39.9847000,116.3607628,6.23,1.452,89.863
1700000015000,39.9846865,116.3608252,5.95,1.105,105.714
1700000020000,39.9846740,116.3609006,6.26,1.315,102.206
1700000025000,39.9846644,116.3609659,7.49,1.134,100.883
1700000030000,39.9846550,116.3610318,8.16,1.142,100.551
1700000035000,39.9846152,116.3610942,8.76,1.383,129.761
1700000040000,39.9845853,116.3611435,6.78,1.071,128.383
1700000045000,39.9845506,116.3611820,9.63,1.013,139.619
1700000050000,39.9845305,116.3612555,6.76,1.330,109.690
1700000055000,39.9845278,116.3613422,5.18,1.478,92.322
1700000060000,39.9845248,116.3614124,8.90,1.198,93.199
1700000065000,39.9845213,116.3614917,6.77,1.354,93.232
1700000070000,39.9845190,116.3615627,9.08,1.212,92.463
1700000075000,39.9844890,116.3616334,5.53,1.377,118.996
1700000080000,39.9844651,116.3616881,7.66,1.073,119.661
1700000085000,39.9844360,116.3617571,5.48,1.342,118.790
1700000090000,39.9844123,116.3618151,9.51,1.120,118.118
1700000095000,39.9843886,116.3618716,5.59,1.098,118.716
1700000100000,39.9556677,116.3481371,8.77,680.266,200.123
1700000105000,39.9843391,116.3619948,6.16,679.961,20.329
1700000110000,39.9843079,116.3620706,8.94,1.467,118.263
1700000115000,39.9842855,116.3621224,6.90,1.015,119.488
1700000120000,39.9842552,116.3621906,8.31,1.342,120.079
1700000125000,39.9842206,116.3622659,8.68,1.496,120.977
1700000130000,39.9841938,116.3623231,9.58,1.143,121.425
1700000135000,39.9841577,116.3623965,5.28,1.486,122.729
1700000140000,39.9841217,116.3624655,5.14,1.422,124.160
1700000145000,39.9840850,116.3625355,5.53,1.445,124.433
1700000150000,39.9840511,116.3626015,5.14,1.355,123.841
1700000155000,39.9840216,116.3626598,6.33,1.189,123.413
1700000160000,39.9839968,116.3627091,8.73,1.005,123.276
1700000165000,39.9839652,116.3627701,6.20,1.255,124.070
1700000170000,39.9839286,116.3628372,7.08,1.404,125.469
1700000175000,39.9841195,116.3626735,6.74,5.081,326.693
1700000180000,39.9838037,116.3631241,5.34,10.406,132.451
1700000185000,39.9840700,116.3626701,5.44,9.742,307.439
1700000190000,39.9839620,116.3628802,5.01,4.311,123.865
1700000195000,39.9836181,116.3626680,8.04,8.459,205.305
1700000200000,39.9837843,116.3629361,9.02,5.877,51.021
1700000205000,39.9836996,116.3631404,5.04,3.959,118.430
1700000210000,39.9837703,116.3631414,6.94,1.573,0.573
1700000215000,39.9838569,116.3628442,5.12,5.417,290.817
1700000220000,39.9837114,116.3628948,7.82,3.348,165.077
1700000225000,39.9837552,116.4032548,5.63,687.739,89.919
1700000230000,39.9834873,116.3634872,7.24,677.673,269.496
1700000235000,39.9834510,116.3635256,7.33,1.039,140.889
1700000240000,39.9834067,116.3635724,6.93,1.269,141.053
1700000245000,39.9833610,116.3636218,7.54,1.318,140.400
1700000250000,39.9833214,116.3636633,5.99,1.130,141.176
1700000255000,39.9832701,116.3637192,9.31,1.486,140.135
1700000260000,39.9832341,116.3637566,7.70,1.024,141.450
1700000265000,39.9832011,116.3638135,5.29,1.217,127.184
1700000270000,39.9831602,116.3638818,5.46,1.475,127.983
1700000275000,39.9831205,116.3639455,9.99,1.400,129.164
1700000280000,39.9830880,116.3639960,7.47,1.123,129.991
1700000285000,39.9830545,116.3640486,6.21,1.166,129.753
1700000290000,39.9830227,116.3640988,5.06,1.111,129.592
1700000295000,39.9829866,116.3641557,5.27,1.259,129.614
1700000300000,39.9829532,116.3642099,9.44,1.185,128.769
1700000305000,39.9826338,116.3647092,7.41,11.083,129.865
1700000310000,39.9823267,116.3651900,5.30,10.666,129.803
1700000315000,39.9820072,116.3657085,5.83,11.338,128.807
1700000320000,39.9816935,116.3662427,7.52,11.468,127.466
1700000325000,39.9814621,116.3666280,7.81,8.344,128.094
1700000330000,39.9812087,116.3670475,5.39,9.101,128.249
1700000335000,39.9808228,116.3677063,8.38,14.132,127.397
1700000340000,39.9805748,116.3681439,7.72,9.275,126.489
1700000345000,39.9802346,116.3687514,8.67,12.823,126.160
1700000350000,39.9935565,116.3239974,7.76,818.108,291.230
1700000355000,39.9796167,116.3698716,6.25,840.899,111.635
1700000360000,39.9792053,116.3705645,6.10,14.939,127.770
1700000365000,39.9788089,116.3712146,5.32,14.158,128.510
1700000370000,39.9783944,116.3718762,6.15,14.563,129.269
1700000375000,39.9778589,116.3720861,9.86,12.435,163.282
1700000380000,39.9782217,116.3719496,9.12,8.396,343.916
1700000385000,39.9779283,116.3723944,7.20,10.000,130.718
1700000390000,39.9778550,116.3720582,5.91,5.958,254.105
1700000395000,39.9779268,116.3721225,5.77,1.937,34.493
1700000400000,39.9781063,116.3719899,5.77,4.588,330.495
1700000405000,39.9778563,116.3723329,6.36,8.068,133.570
1700000410000,39.9783435,116.3722143,8.98,11.022,349.434
1700000415000,39.9782076,116.3724334,5.49,4.803,129.001
1700000420000,39.9782167,116.3722550,9.93,3.047,273.807
1700000425000,39.9749132,116.3774798,7.97,115.436,129.526
1700000430000,39.9747210,116.3779136,9.35,8.539,120.025
1700000435000,39.9744653,116.3784919,7.11,11.379,119.988
1700000440000,39.9742044,116.3791144,6.98,12.092,118.677
1700000445000,39.9739518,116.3797301,6.85,11.903,118.159
1700000450000,39.9736673,116.3804558,5.31,13.891,117.098
1700000455000,39.9734181,116.3810862,7.86,12.089,117.282
1700000460000,39.9731646,116.3817292,7.87,12.324,117.218
1700000465000,39.9729424,116.3823004,6.41,10.917,116.925
1700000470000,39.9726598,116.3829952,6.91,13.406,117.953
1700000475000,39.9723782,116.3837055,6.21,13.628,117.351
1700000480000,39.9720971,116.3844125,5.73,13.575,117.425
1700000485000,39.9718927,116.3849448,8.14,10.148,116.612
1700000490000,39.9716372,116.3855790,9.63,12.212,117.727
1700000495000,39.9714637,116.3860315,8.78,8.623,116.576
1700000500000,39.9954039,116.3903042,5.25,537.359,7.788
1700000505000,39.9710339,116.3873447,8.66,544.304,185.315
1700000510000,39.9708498,116.3880001,5.67,11.897,110.128
1700000515000,39.9706237,116.3887849,5.60,14.290,110.601
1700000520000,39.9704301,116.3894457,5.55,12.057,110.919
1700000525000,39.9703001,116.3898898,6.26,8.103,110.911
1700000530000,39.9700642,116.3906737,7.34,14.353,111.438
1700000535000,39.9697969,116.3911439,9.39,9.979,126.568
1700000540000,39.9694056,116.3918551,7.54,14.920,125.675
1700000545000,39.9690615,116.3924528,5.23,12.742,126.915
1700000550000,39.9686752,116.3930886,9.61,13.829,128.406
1700000555000,39.9683516,116.3936355,7.76,11.776,127.667
1700000560000,39.9681027,116.3940441,6.66,8.895,128.479
1700000565000,39.9677182,116.3946978,8.78,14.045,127.504
1700000570000,39.9674053,116.3952123,5.64,11.196,128.438
1700000575000,39.9670730,116.3957382,7.72,11.616,129.501
1700000580000,39.9666460,116.3963880,6.66,14.590,130.610
1700000585000,39.9662136,116.3970302,6.90,14.569,131.301
1700000590000,39.9657843,116.3976767,6.42,14.580,130.908
1700000595000,39.9654287,116.3981867,6.73,11.751,132.293
1700000600000,39.9650748,116.3986744,6.90,11.448,133.436
1700000605000,39.9647320,116.3989036,5.11,8.567,152.863
1700000610000,39.9643810,116.3991322,7.75,8.724,153.474
1700000615000,39.9638556,116.3994645,8.71,12.984,154.137
1700000620000,39.9633607,116.3997786,8.89,12.240,154.064
1700000625000,39.9628859,116.4000630,5.13,11.617,155.337
1700000630000,39.9624028,116.4003373,8.23,11.717,156.479
1700000635000,39.9619251,116.4005983,6.01,11.518,157.283
1700000640000,39.9614839,116.4008317,6.98,10.588,157.930
1700000645000,39.9610114,116.4010893,6.41,11.388,157.320
1700000650000,39.9604339,116.4014094,7.20,13.954,156.979
1700000655000,39.9600545,116.4016285,9.85,9.228,156.124
1700000660000,39.9594610,116.4019689,6.58,14.417,156.270
1700000665000,39.9591156,116.4021734,9.88,8.436,155.592
1700000670000,39.9587449,116.4023900,7.15,9.033,155.871
1700000675000,39.9584190,116.4025909,5.24,8.015,154.707
1700000680000,39.9579211,116.4028881,7.26,12.178,155.420
1700000685000,39.9573556,116.4032470,7.68,13.985,154.058
1700000690000,39.9568314,116.4036015,7.64,13.130,152.599
1700000695000,39.9563971,116.4038926,8.55,10.860,152.803
1700000700000,39.9559166,116.4042044,6.29,11.933,153.553
1700000705000,39.9558673,116.4042022,7.82,1.098,181.965
1700000710000,39.9558123,116.4041995,9.63,1.225,182.139
1700000715000,39.9557628,116.4041956,5.08,1.103,183.429
1700000720000,39.9557049,116.4041926,7.34,1.288,182.310
1700000725000,39.9556466,116.4041990,8.51,1.300,175.181
1700000730000,39.9555862,116.4042044,7.49,1.348,176.065
1700000735000,39.9555345,116.4042097,6.72,1.151,175.487
1700000740000,39.9554728,116.4042156,9.30,1.376,175.843
1700000745000,39.9554244,116.4042191,7.57,1.079,176.860
1700000750000,39.9553598,116.4042241,8.90,1.438,176.558
