timestamp,lat,lon,accuracy,speed,heading
1700000000000,47.6205000,-122.3493000,7.84,0.000,0.000
1700000003000,47.6207845,-122.3490512,8.40,12.241,30.522
1700000006000,47.6210610,-122.3490573,5.12,10.251,359.138
1700000009000,47.6214266,-122.3490496,6.63,13.552,0.820
1700000012000,47.6219103,-122.3490248,5.34,17.939,1.974
1700000015000,47.6222934,-122.3490115,7.15,14.201,1.346
1700000018000,47.6226739,-122.3490026,7.62,14.107,0.902
1700000021000,47.6230871,-122.3489966,8.09,15.316,0.564
1700000024000,47.6236081,-122.3489937,8.22,19.312,0.215
1700000027000,47.6238847,-122.3490013,6.78,10.254,358.936
1700000030000,47.6244052,-122.3490344,9.81,19.310,357.545
1700000033000,47.6249067,-122.3490721,9.18,18.613,357.102
1700000036000,47.6252327,-122.3493489,7.50,13.921,330.212
1700000039000,47.6255726,-122.3496371,5.17,14.509,330.252
1700000042000,47.6259114,-122.3499128,5.24,14.323,331.257
1700000045000,47.6262045,-122.3501714,9.27,12.641,329.263
1700000048000,47.6266057,-122.3505435,9.93,17.536,327.990
1700000051000,47.6270428,-122.3509677,9.32,19.359,326.818
1700000054000,47.6275470,-122.3509608,6.67,18.689,0.527
1700000057000,47.6278430,-122.3509608,9.86,10.972,359.990
1700000060000,47.6282535,-122.3509568,6.78,15.215,0.376
1700000063000,47.6287223,-122.3509520,9.44,17.374,0.402
1700000066000,47.6291814,-122.3509281,8.29,17.029,2.005
1700000069000,47.6294787,-122.3509277,5.59,11.017,0.056
1700000072000,47.6299785,-122.3509150,6.16,18.530,0.980
1700000075000,47.6302488,-122.3508977,6.84,10.026,2.470
1700000078000,47.6306726,-122.3508710,7.11,15.723,2.430
1700000081000,47.6310114,-122.3504451,6.67,16.458,40.266
1700000084000,47.6313493,-122.3500051,9.78,16.662,41.272
1700000087000,47.6316295,-122.3496240,8.94,14.090,42.506
1700000090000,47.6319257,-122.3492424,80.00,14.536,40.968
1700000093000,47.6322508,-122.3487971,6.71,16.402,42.703
1700000096000,47.6325477,-122.3483880,5.90,15.017,42.880
1700000099000,47.6328646,-122.3479416,5.14,16.193,43.517
1700000102000,47.6333418,-122.3478847,5.47,17.746,4.592
1700000105000,47.6336714,-122.3478447,9.61,12.257,4.682
1700000108000,47.6340849,-122.3478067,6.91,15.354,3.536
1700000111000,47.6345535,-122.3477685,5.10,17.397,3.151
