timestamp,lat,lon,accuracy,speed,heading
1700000000000,40.0000000,116.4000000,6.58,0.000,0.000
1700000015000,40.0026949,116.4000185,7.78,19.978,0.301
1700000030000,40.0053898,116.4000181,7.44,19.978,359.994
1700000045000,40.0080847,116.3999909,6.55,19.978,359.557
1700000060000,40.0107796,116.3999707,5.17,19.978,359.671
1700000075000,40.0134744,116.3999431,7.83,19.978,359.550
1700000090000,40.0161693,116.3999269,7.11,19.978,359.737
1700000105000,40.0188642,116.3999113,6.06,19.978,359.746
1700000120000,40.0215592,116.3999236,7.23,19.978,0.201
1700000135000,40.0242541,116.3999074,5.58,19.978,359.735
1700000150000,40.0269490,116.3999112,6.86,19.978,0.062
1700000165000,40.0296438,116.3998844,5.03,19.978,359.564
1700000180000,40.0323387,116.3998681,5.19,19.978,359.734
1700000195000,40.0350337,116.3998571,7.34,19.978,359.820
1700000210000,40.0377286,116.3998650,6.08,19.978,0.129
1700000225000,40.0404235,116.3998840,7.16,19.978,0.310
1700000240000,40.0431184,116.3998627,7.80,19.978,359.653
1700000255000,40.0458133,116.3998496,7.70,19.978,359.787
1700000270000,40.0485082,116.3998606,6.10,19.978,0.180
1700000285000,40.0512031,116.3998696,7.72,19.978,0.146
1700000300000,40.0538981,116.3998785,6.34,19.978,0.145
1700000315000,40.0565930,116.3998623,6.33,19.978,359.736
1700000330000,40.0592878,116.3998411,5.82,19.978,359.655
1700000345000,40.0619828,116.3998292,7.68,19.978,359.807
1700000360000,40.0646777,116.3998188,7.84,19.978,359.831
1700000375000,40.0673726,116.3998298,7.27,19.978,0.179
1700000390000,40.0700675,116.3998233,6.77,19.978,359.894
1700000405000,40.0727625,116.3998287,7.01,19.978,0.088
1700000420000,40.0754574,116.3998385,6.40,19.978,0.160
1700000435000,40.0781523,116.3998246,7.81,19.978,359.773
1700000450000,40.0808472,116.3998036,5.96,19.978,359.659
1700000465000,40.0835421,116.3998052,5.09,19.978,0.026
1700000480000,40.0862371,116.3998033,7.81,19.978,359.969
1700000495000,40.0889320,116.3997960,5.80,19.978,359.881
1700000510000,40.0916269,116.3997726,6.10,19.978,359.619
1700000525000,40.0943218,116.3997835,5.42,19.978,0.177
